controller,peak_temperature_c,overshoot_c,disturbance_minimum_c,disturbance_dip_c,settling_time_s,final_temperature_c
Ziegler-Nichols PID,51.6341714924694,1.6341714924694,49.9717372674473,0.0282627325527471,154.235695175523,49.9999933179621
CHR 0% Overshoot,50.1091796457908,0.10917964579081,49.8795927075259,0.120407292474127,2311.97435493078,49.9943059068757
Cohen-Coon,51.3272541692487,1.32725416924873,49.965470821738,0.0345291782619768,181.565184960105,50.0000041782058
Lambda Tuning,50.1584434223259,0.158443422325853,49.7162103504705,0.283789649529467,3118.49131906339,49.983759235285
Maximally Flat,50.1417307024555,0.141730702455497,49.7805259843875,0.219474015612533,2858.10256631042,49.9914194160856
Haalman,50.1194204830566,0.119420483056558,49.8469558472982,0.153044152701753,2522.08864239762,49.9929608207666
AMIGO,50.2416869932823,0.241686993282322,49.7887023671126,0.211297632887373,2398.28870138632,49.9999843079545
